Order_ID,Order_Date,Customer_ID,Customer_Name,Customer_Segment,Region,State,City,Category,Sub_Category,Product_Name,Quantity,Unit_Price,Discount_%,Sales_Amount,Profit,Shipping_Cost,Ship_Mode
ORD-1001,13-01-2024,CUST007,Deepak Gupta,Home Office,South,Karnataka,Bengaluru,Electronics,Mobiles,OnePlus 11,4,40000,0.1,144000,31228.09,292.38,Same Day
ORD-1002,07-01-2024,CUST014,Divya Chauhan,Home Office,South,Tamil Nadu,Coimbatore,Home & Kitchen,Furniture,Study Table,4,6000,0.15,20400,2362.32,305.11,Standard Class
ORD-1003,23-01-2024,CUST017,Arjun Malhotra,Home Office,North,Uttar Pradesh,Agra,Clothing,Men,Men Jacket,5,3500,0,17500,2888.22,213.14,Standard Class
ORD-1004,15-01-2024,CUST017,Arjun Malhotra,Consumer,West,Maharashtra,Pune,Electronics,Mobiles,Samsung S23,4,55000,0.1,198000,52463.94,129.93,Second Class
ORD-1005,02-01-2024,CUST004,Sneha Verma,Consumer,South,Tamil Nadu,Madurai,Clothing,Men,Men Shoes,1,2800,0,2800,397.49,52.55,First Class
ORD-1006,05-01-2024,CUST017,Arjun Malhotra,Corporate,South,Karnataka,Mangaluru,Electronics,Laptops,Lenovo IdeaPad,5,45000,0.05,213750,52374.47,106.86,Same Day
ORD-1007,02-01-2024,CUST005,Amit Singh,Home Office,South,Telangana,Warangal,Electronics,Mobiles,iPhone 14,2,75000,0,150000,17224.05,129.94,Second Class
ORD-1008,07-01-2024,CUST018,Riya Kapoor,Corporate,West,Maharashtra,Pune,Electronics,Laptops,HP Pavilion,1,50000,0.1,45000,6189.43,313.56,Standard Class
ORD-1009,11-01-2024,CUST007,Deepak Gupta,Corporate,West,Gujarat,Surat,Clothing,Women,Women Saree,5,3500,0,17500,2034.29,66.92,First Class
ORD-1010,24-01-2024,CUST013,Sanjay Yadav,Corporate,South,Tamil Nadu,Madurai,Electronics,Accessories,Power Bank,1,1200,0.2,960,208.87,191.27,Second Class
ORD-1011,13-01-2024,CUST010,Pooja Reddy,Corporate,North,Uttar Pradesh,Kanpur,Clothing,Men,Men Kurta,3,1500,0.15,3825,975.06,404.69,Second Class
ORD-1012,09-01-2024,CUST014,Divya Chauhan,Corporate,West,Rajasthan,Jaipur,Clothing,Women,Women Blazer,5,3200,0.15,13600,3032.33,137.51,First Class
ORD-1013,07-01-2024,CUST012,Meera Iyer,Consumer,East,Bihar,Gaya,Electronics,Accessories,Smartwatch,3,8000,0.15,20400,3332.19,388.69,Second Class
ORD-1014,14-01-2024,CUST012,Meera Iyer,Home Office,West,Maharashtra,Mumbai,Home & Kitchen,Decor,Photo Frame,1,600,0.1,540,76.74,352.54,Second Class
ORD-1015,17-01-2024,CUST015,Nikhil Bose,Consumer,East,Bihar,Gaya,Clothing,Kids,Kids Jacket,5,1800,0.2,7200,1485.64,394.27,First Class
ORD-1016,07-01-2024,CUST024,Nisha Tiwari,Consumer,North,Uttar Pradesh,Lucknow,Home & Kitchen,Furniture,Office Chair,4,8500,0,34000,5230.74,300.75,First Class
ORD-1017,07-01-2024,CUST025,Aditya Bhatt,Consumer,West,Gujarat,Ahmedabad,Clothing,Women,Women Saree,2,3500,0,7000,1822.47,440.57,Same Day
ORD-1018,14-01-2024,CUST018,Riya Kapoor,Home Office,South,Tamil Nadu,Coimbatore,Electronics,Laptops,MacBook Air,5,115000,0.2,460000,118658.26,222.19,Same Day
ORD-1019,19-01-2024,CUST021,Karan Oberoi,Corporate,South,Karnataka,Mangaluru,Electronics,Laptops,Asus VivoBook,1,42000,0,42000,6129.87,272.36,First Class
ORD-1020,21-01-2024,CUST024,Nisha Tiwari,Consumer,East,Bihar,Patna,Home & Kitchen,Appliances,Toaster,3,2200,0,6600,707.72,464,Same Day
ORD-1021,02-01-2024,CUST002,Priya Patel,Corporate,South,Telangana,Warangal,Electronics,Laptops,Dell Inspiron,4,55000,0,220000,53035.59,102.73,Second Class
ORD-1022,09-01-2024,CUST009,Vikram Joshi,Home Office,East,West Bengal,Siliguri,Electronics,Accessories,Smartwatch,3,8000,0.15,20400,5548.64,290.73,Standard Class
ORD-1023,24-01-2024,CUST005,Amit Singh,Consumer,South,Telangana,Hyderabad,Electronics,Accessories,USB Hub,2,800,0,1600,406.68,372.62,Second Class
ORD-1024,11-01-2024,CUST025,Aditya Bhatt,Consumer,East,Bihar,Gaya,Electronics,Laptops,HP Pavilion,1,50000,0,50000,8965.57,484.99,Standard Class
ORD-1025,13-02-2024,CUST022,Shruti Agarwal,Consumer,South,Telangana,Warangal,Home & Kitchen,Decor,Wall Clock,2,1500,0.2,2400,271.91,249.77,First Class
ORD-1026,11-02-2024,CUST019,Manoj Das,Consumer,West,Maharashtra,Pune,Electronics,Mobiles,iPhone 14,3,75000,0.2,180000,34416.1,180.55,Same Day
